City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
jardim,-21.4803,-56.1381,63.99,91,100,6.71,BR,1663149916
ouallam,14.3188,2.0866,89.83,51,44,8.63,NE,1663149916
parrita,9.5201,-84.3225,75.22,86,97,2.68,CR,1663149917
champasak,14.75,106.0,80.37,94,91,1.07,LA,1663149918
oranjemund,-28.55,16.4333,80.69,21,0,9.42,NA,1663149918
verkhnyaya maksakovka,61.635,50.9674,59.18,55,40,8.95,RU,1663149919
bako,5.7833,36.5667,78.39,54,63,1.54,ET,1663149919
warrnambool,-38.3833,142.4833,55.29,83,100,21.72,AU,1663149919
moose factory,51.2585,-80.6094,40.87,95,7,7.92,CA,1663149920
westport,41.1415,-73.3579,65.75,84,0,8.05,US,1663149921
bequimao,-2.4489,-44.7825,75.31,92,19,4.32,BR,1663149922
hovd,48.0056,91.6419,61.97,26,43,4.99,MN,1663149923
agadez,19.75,10.25,98.31,10,26,11.65,NE,1663149923
manokwari,-0.8667,134.0833,80.83,76,35,7.02,ID,1663149924
asau,46.4333,26.4,69.28,45,90,6.15,RO,1663149925
yining,29.0361,114.5636,79.14,64,63,6.62,CN,1663149925
cap malheureux,-19.9842,57.6142,78.48,55,91,10.0,MU,1663149925
bilibino,68.0546,166.4372,35.31,96,100,1.23,RU,1663149927
lewiston,44.1003,-70.2148,65.41,98,20,4.61,US,1663149927
teya,60.3778,92.6267,49.41,71,98,4.88,RU,1663149928
wawa,9.9022,4.4192,82.98,72,61,4.36,NG,1663149928
ekibastuz,51.6667,75.3667,59.18,28,85,9.82,KZ,1663149929
margate,51.3813,1.3862,61.9,94,100,3.0,GB,1663149929
shimoda,34.6667,138.95,77.11,85,98,16.31,JP,1663149899
lima,-12.0432,-77.0282,57.9,89,100,5.75,PE,1663149901
virginia beach,36.8529,-75.978,74.01,70,40,4.61,US,1663149930
port blair,11.6667,92.75,83.35,65,76,10.71,IN,1663149831
tateyama,34.9833,139.8667,78.1,80,75,18.34,JP,1663149891
panama city,8.9936,-79.5197,77.16,88,40,2.3,PA,1663149931
poum,-20.2333,164.0167,74.14,78,19,18.1,NC,1663149932
tricase,39.9304,18.3553,79.32,39,24,2.48,IT,1663149933
dera bugti,29.0307,69.151,96.55,31,0,3.33,PK,1663149933
manzhouli,49.6,117.4333,70.39,39,100,9.42,CN,1663149933
necochea,-38.5473,-58.7368,40.57,93,50,3.36,AR,1663149933
barabinsk,55.3571,78.357,57.72,34,93,5.37,RU,1663149934
dryden,49.7833,-92.7503,43.09,93,20,3.44,CA,1663149935
hasaki,35.7333,140.8333,73.8,75,82,20.65,JP,1663149935
mehamn,71.0357,27.8492,44.55,61,75,6.91,NO,1663149936
pio xii,-3.8325,-45.1525,75.72,86,31,3.47,BR,1663149937
coahuayana,18.7333,-103.6833,74.86,95,100,3.04,MX,1663149937
paita,-5.0892,-81.1144,60.49,85,52,11.07,PE,1663149938
essenbach,48.6167,12.2167,75.85,83,100,10.58,DE,1663149939
haapiti,-17.5667,-149.8667,74.71,70,96,19.06,PF,1663149940
saldanha,-33.0117,17.9442,67.78,44,0,8.88,ZA,1663149941
high rock,26.6208,-78.2833,77.02,68,100,3.53,BS,1663149941
nouadhibou,20.931,-17.0347,74.8,77,60,15.61,MR,1663149941
elko,41.0002,-115.5012,53.06,83,94,3.44,US,1663149783
vanimo,-2.6741,141.3028,80.47,79,98,8.61,PG,1663149942
hailar,49.2,119.7,71.8,32,95,9.01,CN,1663149731
magaria,12.9983,8.9099,86.22,58,69,6.02,NE,1663149942
lorengau,-2.0226,147.2712,81.91,75,96,10.67,PG,1663149943
kontagora,10.3999,5.4695,83.32,69,43,3.69,NG,1663149944
longhua,23.6137,114.1919,85.77,47,1,4.47,CN,1663149945
yelan,50.949,43.7378,69.26,54,77,10.18,RU,1663149945
phan thiet,10.9333,108.1,84.24,74,52,15.03,VN,1663149945
coos bay,43.3665,-124.2179,55.24,100,100,4.61,US,1663149946
morros,-9.4467,-46.3003,74.08,35,5,6.2,BR,1663149946
puri,19.8,85.85,86.52,80,100,17.87,IN,1663149759
mandali,33.7499,45.5541,106.72,9,0,12.91,IQ,1663149948
constitucion,-35.3333,-72.4167,47.52,88,9,5.12,CL,1663149948
lamu,-2.2717,40.902,84.42,69,61,16.58,KE,1663149948
kinna,57.5073,12.6946,63.03,61,14,11.92,SE,1663149887
roshni-chu,43.0895,45.4544,60.3,96,100,1.92,RU,1663149949
acapulco,16.8634,-99.8901,75.02,94,100,8.05,MX,1663149949
nikki,9.9401,3.2108,82.15,71,85,4.41,BJ,1663149949
fort payne,34.4442,-85.7197,59.65,65,0,4.63,US,1663149951
villa carlos paz,-31.4241,-64.4978,40.28,32,36,4.65,AR,1663149952
adrar,20.5022,-10.0711,95.85,21,45,19.28,MR,1663149953
kumeny,58.1089,49.9161,57.22,56,100,13.06,RU,1663149953
magdagachi,53.45,125.8,50.88,61,85,5.86,RU,1663149953
dibulla,11.2725,-73.3091,75.13,80,88,5.46,CO,1663149953
poli,-3.3333,36.8,75.04,35,52,11.05,TZ,1663149955
henties bay,-22.116,14.2845,65.19,69,7,8.41,NA,1663149955
erding,48.306,11.9069,77.76,61,20,21.85,DE,1663149956
lasa,46.6166,10.7002,66.69,74,100,5.84,IT,1663149956
sao filipe,14.8961,-24.4956,79.65,81,21,5.84,CV,1663149957
salinopolis,-0.6136,-47.3561,78.87,85,84,11.39,BR,1663149957
havre-saint-pierre,50.2334,-63.5986,58.95,97,97,11.05,CA,1663149957
kirakira,-10.4544,161.9205,79.48,85,20,8.84,SB,1663149958
betafo,-19.8333,46.85,78.03,22,97,7.07,MG,1663149958
cocobeach,1.0002,9.5823,79.25,76,96,6.8,GA,1663149959
kadhan,24.481,68.9859,101.89,35,46,7.85,PK,1663149959
sitka,57.0531,-135.33,51.71,88,100,6.33,US,1663149960
nelson bay,-32.7167,152.15,61.0,78,49,8.99,AU,1663149961
dongsheng,39.8161,109.9776,70.34,32,1,11.34,CN,1663149961
bijie,27.3125,105.2942,69.85,78,87,7.81,CN,1663149744
umm lajj,25.0213,37.2685,90.5,54,2,17.07,SA,1663149963
alekseyevsk,57.8406,108.3492,48.27,66,28,3.67,RU,1663149963
polovinnoye,54.7914,65.9864,62.38,35,96,4.18,RU,1663149964
lagoa,39.05,-27.9833,73.44,92,3,12.82,PT,1663149965
languyan,5.2618,120.0807,81.41,77,63,6.22,PH,1663149965
karratha,-20.7377,116.8463,75.2,45,0,14.29,AU,1663149672
carballo,43.213,-8.691,72.86,87,100,6.78,ES,1663149966
luanda,-8.8368,13.2343,76.33,73,59,7.61,AO,1663149966
abalak,58.1286,68.5944,59.31,51,72,8.81,RU,1663149966
weifang,36.71,119.1019,69.39,91,100,8.61,CN,1663149968
kulhudhuffushi,6.6221,73.07,81.45,75,70,8.7,MV,1663149969
fort nelson,58.8053,-122.7002,45.91,67,45,1.07,CA,1663149970
leeds,53.7964,-1.5477,63.34,87,40,10.36,GB,1663149970
rio claro,-22.4114,-47.5614,64.81,89,95,11.16,BR,1663149970
petrykivka,48.7298,34.6351,60.67,64,100,12.41,UA,1663149971
ahipara,-35.1667,173.1667,50.02,74,16,5.28,NZ,1663149972
san rafael,-34.6177,-68.3301,51.91,33,0,5.84,AR,1663149972
mackay,-21.15,149.2,64.69,73,0,11.77,AU,1663149901
indianola,41.3581,-93.5574,62.4,74,9,7.27,US,1663149973
agudos,-22.4692,-48.9875,66.15,95,100,8.77,BR,1663149974
teacapan,22.55,-105.75,76.77,91,100,3.74,MX,1663149975
bahia honda,22.9036,-83.1592,76.89,85,53,4.29,CU,1663149975
isabela,6.7085,121.9711,84.25,79,55,6.82,PH,1663149976
lompoc,34.6391,-120.4579,60.6,91,0,4.61,US,1663149977
gat,31.61,34.7642,87.78,28,0,14.88,IL,1663149977
saint-francois,46.4154,3.9054,76.68,73,75,10.36,FR,1663149978
kitgum,3.2783,32.8867,84.04,52,68,3.36,UG,1663149979
svetlyy,54.675,20.1347,64.96,74,76,18.84,RU,1663149980
ponta delgada,37.7333,-25.6667,79.5,100,75,10.36,PT,1663149981
mayna,54.1135,47.6231,57.97,63,100,14.36,RU,1663149982
sedhiou,12.7081,-15.5569,74.64,95,100,4.68,SN,1663149982
marsh harbour,26.5412,-77.0636,83.01,73,49,7.72,BS,1663149983
kodinsk,58.6881,99.1844,51.31,57,95,1.54,RU,1663149983
sembakung,3.8167,117.25,78.42,90,73,2.35,ID,1663149984
cabo rojo,18.0866,-67.1457,79.95,87,66,3.69,PR,1663149984
houma,29.5958,-90.7195,71.01,84,0,4.61,US,1663149985
camopi,3.1655,-52.3158,71.38,97,34,0.92,GF,1663149985
changji,44.0167,87.3167,74.19,31,0,8.95,CN,1663149986
thesprotikon,39.25,20.7847,81.75,31,0,6.44,GR,1663149986
bayan,46.0833,127.4,62.13,79,100,4.74,CN,1663149987
ancud,-41.8697,-73.8203,52.23,81,100,19.73,CL,1663149987
trairi,-3.2778,-39.2689,78.89,78,65,11.48,BR,1663149987
araouane,18.9048,-3.5265,98.29,29,12,16.6,ML,1663149989
senador pompeu,-5.5881,-39.3717,76.69,72,7,5.14,BR,1663149989
qaqortoq,60.7167,-46.0333,46.51,59,13,5.37,GL,1663149989
ojinaga,29.5667,-104.4167,74.35,68,0,3.44,MX,1663149990
havoysund,70.9963,24.6622,44.83,64,100,12.8,NO,1663149991
anadyr,64.75,177.4833,42.01,93,75,2.24,RU,1663149992
ambilobe,-13.2,49.05,90.05,31,85,6.96,MG,1663149992
jodoigne,50.7236,4.8691,62.76,98,100,6.91,BE,1663149992
la rochelle,46.1667,-1.15,79.93,78,78,9.22,FR,1663149993
riyadh,24.6877,46.7219,111.34,7,1,3.15,SA,1663149904
ormara,25.2088,64.6357,82.44,81,2,17.2,PK,1663149994
arroyos y esteros,-25.0667,-57.1,51.55,79,28,3.67,PY,1663149994
talara,-4.5772,-81.2719,61.9,82,90,15.03,PE,1663149995
ucluelet,48.9329,-125.5528,55.09,92,0,4.25,CA,1663149996
hobyo,5.3505,48.5268,83.21,66,14,26.84,SO,1663149996
moyo,3.6609,31.7247,83.98,55,39,0.47,UG,1663149996
abhar,36.1468,49.218,91.09,11,11,22.19,IR,1663149996
kidal,18.4411,1.4078,98.38,25,36,10.74,ML,1663149997
sorland,67.667,12.6934,49.86,86,100,22.32,NO,1663149997
saint-joseph,-21.3667,55.6167,75.58,71,92,9.75,RE,1663149998
namibe,-15.1961,12.1522,73.42,71,49,7.18,AO,1663149998
sterlibashevo,53.4376,55.2578,67.35,30,100,14.85,RU,1663149999
privodino,61.0781,46.5044,59.77,45,74,10.25,RU,1663149999
zhigansk,66.7697,123.3711,39.67,64,94,2.62,RU,1663149999
kimbe,-5.5502,150.1429,77.81,83,74,6.26,PG,1663149999
paka,4.6374,103.4368,82.42,76,100,13.15,MY,1663150000
abu kamal,34.4506,40.9171,92.8,27,0,11.97,SY,1663150000
deogarh,21.5333,84.7333,80.92,86,100,4.16,IN,1663150001
sampit,-2.5333,112.95,76.28,95,100,1.43,ID,1663150001
rodney,42.5668,-81.6831,56.48,90,0,8.59,CA,1663150001
kurumkan,54.3,110.3,54.12,47,100,0.98,RU,1663150002
sinnamary,5.3833,-52.95,76.98,89,16,8.21,GF,1663150002
collie,-33.3667,116.15,51.58,80,55,9.82,AU,1663150003
lynn haven,30.2455,-85.6483,72.05,71,0,3.0,US,1663149790
sergiyevsk,53.9413,51.165,67.05,31,100,18.63,RU,1663150005
calatayud,41.3535,-1.6432,73.96,46,6,18.43,ES,1663150005
krasnaya gora,52.9995,31.6023,50.63,86,100,5.37,RU,1663150006
zhangye,38.9342,100.4517,81.79,27,9,10.54,CN,1663150006
hay river,60.8156,-115.7999,47.73,61,46,5.03,CA,1663150007
lethem,3.3803,-59.7968,73.22,91,33,7.23,GY,1663150007
termiz,37.2242,67.2783,91.49,13,0,2.3,UZ,1663150008
kijang,35.2442,129.2139,74.39,79,72,19.55,KR,1663150008
williamsburg,37.2707,-76.7075,70.74,91,0,5.75,US,1663150008
formosa,-26.1775,-58.1781,49.98,93,0,9.22,AR,1663150009
derac,19.65,-71.8167,75.81,77,100,3.85,HT,1663150010
miri,4.4148,114.0089,80.69,79,81,10.27,MY,1663149843
vrangel,42.7297,133.0839,60.93,80,100,3.51,RU,1663150011
berezovyy,51.6667,135.7,58.06,68,100,8.21,RU,1663150012
lauria,40.0465,15.8358,78.22,43,15,6.51,IT,1663150012
